regime,target_name,half,model,n_train_rows,n_features,coefficient_l2_norm
expanding_refit,sleep_efficiency,early,lag1_history,11762,4,0.030966659232730186
expanding_refit,sleep_efficiency,early,short_window_history,11762,5,0.04440812682863991
expanding_refit,sleep_efficiency,early,recent_history,11762,6,0.042664310210241654
expanding_refit,sleep_efficiency,early,long_horizon_fingerprint,11762,5,0.04254426786673238
expanding_refit,sleep_efficiency,early,combined_own_history,11762,8,0.037391359307933004
expanding_refit,sleep_efficiency,early,cross_domain_history,11762,29,0.07481382080737632
expanding_refit,sleep_efficiency,late,calendar,15336,3,0.0027774382866723665
expanding_refit,sleep_efficiency,late,lag1_history,15336,4,0.031455610455287324
expanding_refit,sleep_efficiency,late,short_window_history,15336,5,0.04425674736252336
expanding_refit,sleep_efficiency,late,recent_history,15336,6,0.04286432256302536
expanding_refit,sleep_efficiency,late,long_horizon_fingerprint,15336,5,0.04201312768029597
expanding_refit,sleep_efficiency,late,combined_own_history,15336,8,0.03440303241327118
expanding_refit,sleep_efficiency,late,cross_domain_history,15336,29,0.08013112782713415
disjoint_refit,sleep_efficiency,early,calendar,6203,3,0.002063959259728255
disjoint_refit,sleep_efficiency,early,lag1_history,6203,4,0.028682207386959667
disjoint_refit,sleep_efficiency,early,short_window_history,6203,5,0.04076520107695835
disjoint_refit,sleep_efficiency,early,recent_history,6203,6,0.03988904634399004
disjoint_refit,sleep_efficiency,early,long_horizon_fingerprint,6203,5,0.04067869282270759
disjoint_refit,sleep_efficiency,early,combined_own_history,6203,8,0.037654691693976054
disjoint_refit,sleep_efficiency,early,cross_domain_history,6203,29,0.05561411538334773
disjoint_refit,sleep_efficiency,late,calendar,6336,3,0.005282227621041581
disjoint_refit,sleep_efficiency,late,lag1_history,6336,4,0.03380871873892912
disjoint_refit,sleep_efficiency,late,short_window_history,6336,5,0.044575218330753744
disjoint_refit,sleep_efficiency,late,recent_history,6336,6,0.04353899164091803
disjoint_refit,sleep_efficiency,late,long_horizon_fingerprint,6336,5,0.04254513948446501
disjoint_refit,sleep_efficiency,late,combined_own_history,6336,8,0.03207822996707166
disjoint_refit,sleep_efficiency,late,cross_domain_history,6336,29,0.10478440452187435
fixed_refit,sleep_in_bed,early,calendar,11912,3,0.04363383248582265
fixed_refit,sleep_in_bed,early,lag1_history,11912,4,0.07656461487291609
fixed_refit,sleep_in_bed,early,short_window_history,11912,5,0.14295394033231637
fixed_refit,sleep_in_bed,early,recent_history,11912,6,0.14467052119676796
fixed_refit,sleep_in_bed,early,long_horizon_fingerprint,11912,5,0.14649212571485573
fixed_refit,sleep_in_bed,early,combined_own_history,11912,8,0.12422898698901655
fixed_refit,sleep_in_bed,early,cross_domain_history,11912,29,2.013505865102641
fixed_refit,sleep_in_bed,late,calendar,11912,3,0.04363383248582265
fixed_refit,sleep_in_bed,late,lag1_history,11912,4,0.07656461487291609
fixed_refit,sleep_in_bed,late,short_window_history,11912,5,0.14295394033231637
fixed_refit,sleep_in_bed,late,recent_history,11912,6,0.14467052119676796
fixed_refit,sleep_in_bed,late,long_horizon_fingerprint,11912,5,0.14649212571485573
fixed_refit,sleep_in_bed,late,combined_own_history,11912,8,0.12422898698901655
fixed_refit,sleep_in_bed,late,cross_domain_history,11912,29,2.013505865102641
expanding_refit,sleep_in_bed,early,calendar,11912,3,0.04363383248582265
expanding_refit,sleep_in_bed,early,lag1_history,11912,4,0.07656461487291609
expanding_refit,sleep_in_bed,early,short_window_history,11912,5,0.14295394033231637
expanding_refit,sleep_in_bed,early,recent_history,11912,6,0.14467052119676796
expanding_refit,sleep_in_bed,early,long_horizon_fingerprint,11912,5,0.14649212571485573
expanding_refit,sleep_in_bed,early,combined_own_history,11912,8,0.12422898698901655
expanding_refit,sleep_in_bed,early,cross_domain_history,11912,29,2.013505865102641
expanding_refit,sleep_in_bed,late,calendar,15529,3,0.04310710027250566
expanding_refit,sleep_in_bed,late,lag1_history,15529,4,0.07648918798421744
expanding_refit,sleep_in_bed,late,short_window_history,15529,5,0.13881022809079627
expanding_refit,sleep_in_bed,late,recent_history,15529,6,0.13961985572475527
expanding_refit,sleep_in_bed,late,long_horizon_fingerprint,15529,5,0.14234365459334938
expanding_refit,sleep_in_bed,late,combined_own_history,15529,8,0.12177626596854095
expanding_refit,sleep_in_bed,late,cross_domain_history,15529,29,2.0405751272530956
disjoint_refit,sleep_in_bed,early,calendar,6280,3,0.07166062352308183
disjoint_refit,sleep_in_bed,early,lag1_history,6280,4,0.09393048318144981
disjoint_refit,sleep_in_bed,early,short_window_history,6280,5,0.14424771047038082
disjoint_refit,sleep_in_bed,early,recent_history,6280,6,0.14675850074026642
disjoint_refit,sleep_in_bed,early,long_horizon_fingerprint,6280,5,0.15085082516905896
