target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,r2,mae_log,pearson_r
active_duration,tomorrow,evening,recent_history_only,13091,7481,639,639,0.2409196419284242,0.4674737523536008,0.49248118787097184
active_duration,tomorrow,evening,fingerprint_42d_only,13091,7481,639,639,0.25409095144024907,0.4617101470118681,0.5063527852861456
active_duration,tomorrow,evening,today_partial_only,13091,7481,639,639,0.1596138388701962,0.5091973943737386,0.40035961598080444
active_duration,tomorrow,evening,history_plus_fingerprint,13091,7481,639,639,0.25637009164469426,0.4602462912689112,0.5082675479299813
active_duration,tomorrow,evening,history_fingerprint_plus_today,13091,7481,639,639,0.26520105174055253,0.4543423918811411,0.5166441489509331
active_duration,next_week,morning,calendar_only,12082,6941,636,636,-0.05663632191067647,0.3927368659611652,0.1584316804098312
active_duration,next_week,morning,recent_history_only,12082,6941,636,636,0.6107503625441303,0.22401920887532173,0.783843184402742
active_duration,next_week,morning,fingerprint_42d_only,12082,6941,636,636,0.6342341970501543,0.2187790713617464,0.7995290499634379
active_duration,next_week,morning,today_partial_only,12082,6941,636,636,0.10021102498622425,0.35772203590476326,0.3735161661826393
active_duration,next_week,morning,history_plus_fingerprint,12082,6941,636,636,0.6405211162762214,0.21608167202793732,0.802804021967975
active_duration,next_week,morning,history_fingerprint_plus_today,12082,6941,636,636,0.6415040947418004,0.2157319259455689,0.8033685427888042
active_duration,next_week,afternoon,calendar_only,12082,6941,636,636,-0.05663632191067647,0.3927368659611652,0.1584316804098312
active_duration,next_week,afternoon,recent_history_only,12082,6941,636,636,0.6107503625441303,0.22401920887532173,0.783843184402742
active_duration,next_week,afternoon,fingerprint_42d_only,12082,6941,636,636,0.6342341970501543,0.2187790713617464,0.7995290499634379
active_duration,next_week,afternoon,today_partial_only,12082,6941,636,636,0.21217291859019916,0.33164463080232615,0.4880953327441662
active_duration,next_week,afternoon,history_plus_fingerprint,12082,6941,636,636,0.6405211162762214,0.21608167202793732,0.802804021967975
active_duration,next_week,afternoon,history_fingerprint_plus_today,12082,6941,636,636,0.6431824460735996,0.21512879242566743,0.8043361036985794
active_duration,next_week,evening,calendar_only,12082,6941,636,636,-0.05663632191067647,0.3927368659611652,0.1584316804098312
active_duration,next_week,evening,recent_history_only,12082,6941,636,636,0.6107503625441303,0.22401920887532173,0.783843184402742
active_duration,next_week,evening,fingerprint_42d_only,12082,6941,636,636,0.6342341970501543,0.2187790713617464,0.7995290499634379
active_duration,next_week,evening,today_partial_only,12082,6941,636,636,0.3049088089122496,0.3089593734208879,0.5675711562509655
active_duration,next_week,evening,history_plus_fingerprint,12082,6941,636,636,0.6405211162762214,0.21608167202793732,0.802804021967975
active_duration,next_week,evening,history_fingerprint_plus_today,12082,6941,636,636,0.6451876388920901,0.21455404177565524,0.8054792921759193
sedentary_duration,tomorrow,morning,calendar_only,13092,7481,639,639,-0.013970102165848264,0.056840393913491154,0.08794577358370799
sedentary_duration,tomorrow,morning,recent_history_only,13092,7481,639,639,0.15400117383190237,0.04494316832857725,0.3959306401491815
sedentary_duration,tomorrow,morning,fingerprint_42d_only,13092,7481,639,639,0.15919557391521522,0.04450113963509957,0.40279067349396536
sedentary_duration,tomorrow,morning,today_partial_only,13092,7481,639,639,0.038780801682012034,0.054018944622353536,0.22129372782997037
sedentary_duration,tomorrow,morning,history_plus_fingerprint,13092,7481,639,639,0.16186013746056027,0.04436870407509702,0.4054280785682548
sedentary_duration,tomorrow,morning,history_fingerprint_plus_today,13092,7481,639,639,0.16346534894695042,0.04427625552059018,0.4071374049779619
sedentary_duration,tomorrow,afternoon,calendar_only,13092,7481,639,639,-0.013970102165848264,0.056840393913491154,0.08794577358370799
sedentary_duration,tomorrow,afternoon,recent_history_only,13092,7481,639,639,0.15400117383190237,0.04494316832857725,0.3959306401491815
sedentary_duration,tomorrow,afternoon,fingerprint_42d_only,13092,7481,639,639,0.15919557391521522,0.04450113963509957,0.40279067349396536
sedentary_duration,tomorrow,afternoon,today_partial_only,13092,7481,639,639,0.07249923287437621,0.05142490786856065,0.28216095265486296
sedentary_duration,tomorrow,afternoon,history_plus_fingerprint,13092,7481,639,639,0.16186013746056027,0.04436870407509702,0.4054280785682548
sedentary_duration,tomorrow,afternoon,history_fingerprint_plus_today,13092,7481,639,639,0.1665762318677525,0.04407435852022593,0.4106195442227712
