target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,positive_rate_test,auroc,macro_f1,balanced_accuracy,accuracy
screen_unlock_duration,tomorrow,evening,today_partial_only,16216,9187,695,695,0.4692500272123653,0.7545204818777308,0.7006547702294446,0.7005430096692571,0.7019701752476325
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,16216,9187,695,695,0.4692500272123653,0.8285791978815282,0.7510515986902635,0.7506630214520764,0.7524763252421901
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,16216,9187,695,695,0.4692500272123653,0.8327290166578847,0.7523134625534209,0.75203787400033,0.7535648198541417
screen_unlock_duration,next_week,morning,calendar_only,15044,8576,695,695,0.4728311567164179,0.5104302950118246,0.3229800467841511,0.5003788321986096,0.47329757462686567
screen_unlock_duration,next_week,morning,recent_history_only,15044,8576,695,695,0.4728311567164179,0.9099206306996996,0.823730556795244,0.8234923419439246,0.824393656716418
screen_unlock_duration,next_week,morning,fingerprint_42d_only,15044,8576,695,695,0.4728311567164179,0.9100132523085172,0.8207915110205217,0.8205368234988331,0.8214785447761194
screen_unlock_duration,next_week,morning,today_partial_only,15044,8576,695,695,0.4728311567164179,0.6541159204708755,0.6129808931391938,0.6150655483343793,0.6129897388059702
screen_unlock_duration,next_week,morning,history_plus_fingerprint,15044,8576,695,695,0.4728311567164179,0.916570567656458,0.8303697419080642,0.8302703018193491,0.8309235074626866
screen_unlock_duration,next_week,morning,history_fingerprint_plus_today,15044,8576,695,695,0.4728311567164179,0.9172379014387169,0.8316588402829106,0.8315631041984917,0.832206156716418
screen_unlock_duration,next_week,afternoon,calendar_only,15044,8576,695,695,0.4728311567164179,0.5104302950118246,0.3229800467841511,0.5003788321986096,0.47329757462686567
screen_unlock_duration,next_week,afternoon,recent_history_only,15044,8576,695,695,0.4728311567164179,0.9099206306996996,0.823730556795244,0.8234923419439246,0.824393656716418
screen_unlock_duration,next_week,afternoon,fingerprint_42d_only,15044,8576,695,695,0.4728311567164179,0.9100132523085172,0.8207915110205217,0.8205368234988331,0.8214785447761194
screen_unlock_duration,next_week,afternoon,today_partial_only,15044,8576,695,695,0.4728311567164179,0.7532067504679492,0.6957099937890201,0.6958021355881077,0.6964785447761194
screen_unlock_duration,next_week,afternoon,history_plus_fingerprint,15044,8576,695,695,0.4728311567164179,0.916570567656458,0.8303697419080642,0.8302703018193491,0.8309235074626866
